店名,评论,口味,环境,服务,总分数
 蓉和妈妈菜·巴山蜀水(双流锦镇店) ,3104,8.2,8.3,8.2,4.85
 23 TWENTY THREE EATERY ,1260,8.8,8.4,8.9,4.85
 清真·牛不比火锅(建设路店) ,2227,8.5,8.7,8.3,4.800000000000001
 禅泉冰粉(奎星楼店) ,4552,8.2,8.1,8.1,4.800000000000001
 百姓百味民间拿手川菜(锦门店) ,1817,8.4,8.4,8.5,4.8
 百姓百味民间拿手川菜(华阳店) ,1800,8.5,8.5,8.5,4.8
 Janvier一月 ,1935,8.5,8.3,8.8,4.8
 FATIM花甜生活·生日蛋糕 ,2236,8.5,8.3,8.6,4.8
 COMMUNE幻师(川大店) ,2277,8.4,8.6,8.4,4.8
 味之绝美蛙鱼头(温江店) ,2269,8.5,8.4,8.4,4.8
 加饮PlusIn咖啡(太古里店) ,3697,8.1,8.0,8.2,4.8
 壹小馆.皇城老妈(成都太古里店) ,4771,8.0,8.2,7.9,4.750000000000001
 牛房Beefun餐酒馆 ,879,8.9,8.9,9.1,4.75
 一个勺子新疆锡伯主题私房菜(红墙巷49号院店) ,2348,8.3,8.4,8.2,4.75
 COMMUNE幻师(电视塔店) ,2549,8.3,8.4,8.2,4.75
 老房子华粹元年花园餐厅(天府三街店) ,1462,8.3,9.0,8.8,4.7
 漾亚·雍雅合鲜(桐梓林店) ,1467,8.5,8.9,8.8,4.7
 YUMWONG彦火蛋糕 ,1279,8.9,8.6,8.7,4.7
 眷蜀冰社·手工冰粉 ,4263,8.1,8.0,8.1,4.65
 巴蜀大宅门火锅(新华公园店) ,4177,8.2,8.0,8.0,4.65
 城墙边私房菜(宝瓶巷店) ,1782,8.4,8.3,8.4,4.65
 FUSION COFFEE馥饮咖啡(九眼桥店) ,1969,8.4,8.3,8.4,4.65
 首泊.SoBomb Restaurant&Bar(花牌坊店) ,1901,8.3,8.6,8.4,4.6499999999999995
 熔岩·东南亚料理 ,1869,8.3,8.6,8.5,4.6499999999999995
 红杏酒家(锦城店) ,4952,8.0,8.0,7.8,4.600000000000001
 龙户人家串串香(外双楠店) ,5295,8.1,7.8,7.9,4.600000000000001
 WaKao瓦烤·宜宾烧烤(天府长城店) ,2294,8.3,8.0,8.4,4.6
 Vito’s Thai Restaurant ,811,9.1,8.4,9.0,4.6
 南山木槿韩国料理·烤肉(蜀汉路店) ,2868,8.3,8.1,8.4,4.6
 炙木烤肉·酒(桐梓林店) ,754,8.9,8.7,9.1,4.6
 铁猪美式烤肉(桐梓林店) ,2872,8.2,8.3,8.3,4.6
 醒食 RAND(成都太古里店) ,3288,8.2,8.2,8.2,4.55
 宽来火锅(南站公园店) ,3122,8.0,8.6,8.2,4.55
 昊·来了寿司(双楠2店) ,3478,8.5,7.9,8.1,4.55
 SEWING MACHINE ,3884,8.2,7.8,8.1,4.500000000000001
 金楼阁茶室(科华店) ,2015,8.2,8.8,8.3,4.5
 漫度时光餐厅·宝宝宴·婚礼·求婚·生日·团建会议(三圣乡店) ,783,8.6,9.0,8.6,4.45
 青三椒怪味鱼(高升桥店) ,2633,8.3,7.9,8.4,4.45
 锅盖烤肉(大源店) ,2591,8.5,7.9,8.3,4.449999999999999
 重庆三甲火锅 ,3138,8.2,8.2,8.1,4.4
 一叶一世界藏茶素火锅(华阳店) ,3469,8.1,8.2,8.2,4.4
 瓦库21(铁像寺水街店) ,1501,8.4,8.8,8.3,4.4
 谦和清心素食(五大花园店) ,1273,8.6,8.4,8.5,4.3999999999999995
 柴嘞个柴·狗咖·猫咖 ,1155,8.3,8.6,8.9,4.3999999999999995
 山下人家·土砂锅腊排馆(青城山店) ,2983,8.2,8.1,8.2,4.3999999999999995
 转转会(莲桂店) ,2989,8.1,8.3,8.0,4.3999999999999995
 御厨阁·泉水蒸汽石锅鱼(总店) ,3063,8.2,8.1,8.2,4.3999999999999995
 道家秘制酸汤鱼(青城山总店) ,2249,8.4,8.2,8.4,4.3500000000000005
 银杏金阁(锦里店) ,4527,8.0,8.2,8.0,4.35
 夏威夷 ·全球海鲜姿造(高新店) ,5330,7.7,7.8,7.8,4.300000000000002
 刘仟万私房菜 ,1090,8.7,8.8,8.7,4.3
 周丹丹原味烧烤(峰度天下店) ,2854,8.2,8.3,8.2,4.3
 独食火锅·半米屋台(直营总店) ,1140,8.4,8.4,8.4,4.25
 汪柴喵·猫咖狗咖·奶狗奶猫·阿拉斯加·缅因·桌游剧本杀(太古里IFS春熙路店) ,1582,8.3,8.4,8.6,4.25
 不二隐庐·商务包间·婚礼(三圣乡店) ,1664,8.3,8.7,8.4,4.25
 壹代·韩式炭火烤肉(空港店) ,1193,8.4,8.3,8.6,4.25
 酥香门弟锅盔凉粉(耿家巷店) ,3471,8.3,7.8,8.1,4.25
 晓靖轩烧烤(沙河风情店) ,3986,8.2,7.8,7.9,4.200000000000001
 脍脍料理(祥和里店) ,4034,8.2,7.6,7.9,4.200000000000001
 厘途·LittleTravel(猛追湾店) ,4109,8.0,8.1,8.0,4.2
 邓记新一代糖油果子(四川煤管局供销公司职工宿舍店) ,3738,8.1,7.7,8.0,4.2
 银芭·工作室 ,1911,8.2,8.4,8.3,4.199999999999999
 厘途·LittleTravel(宽窄店) ,2488,8.1,8.3,8.2,4.15
 潮森源汕头鲜牛肉火锅店(爱民路店) ,2845,8.6,7.9,8.1,4.15
 半边面馆(春熙路店) ,2431,8.2,8.0,8.3,4.15
 解香·浣花(杜甫草堂店) ,1020,8.4,8.8,8.7,4.15
 昊·来了寿司(西村店) ,2318,8.4,8.0,8.1,4.15
 派立方聚会馆PARTY CUBE(高新招商花园城店) ,966,8.3,9.0,8.7,4.15
 双流冯记老妈兔头·江湖菜(青石桥总店) ,3544,8.1,8.0,8.1,4.1000000000000005
 富贵老火锅(万象城店) ,2989,8.1,8.0,8.1,4.1000000000000005
 闻酥园(大慈寺店) ,3243,8.2,8.0,8.0,4.1
 kurokii黑酒(科华北路店) ,1354,8.3,8.5,8.4,4.1
 蓉荣·北大铺盖面(总店) ,4356,8.1,7.7,7.7,4.05
 WHEAT&BAKER-麥(凯德来福士店) ,2807,8.2,8.2,8.2,4.0
 辛厨房·辛悦 ,705,8.2,8.9,9.0,4.0
 蜗牛翻糖定制蛋糕SnailCake(宽窄巷子店) ,479,8.6,8.4,8.7,4.0
 树下zakka ,1577,8.3,8.3,8.4,3.95
 野营烤肉韩国料理OUTDOOR BBQ(总店) ,1565,8.4,8.2,8.7,3.95
 薛涛院子里·中餐茶艺(三圣乡店) ,1537,8.3,8.9,8.2,3.9499999999999997
 Pause Coffee Express(太古里店) ,1816,8.3,8.1,8.3,3.9
 银芭1986(麓镇店) ,2037,8.1,8.3,8.3,3.9
 ALICE梦幻甜点屋(仁和新城店) ,674,8.5,8.5,8.8,3.8500000000000005
 短笛Piccolo Coffee(宽窄巷子店) ,2456,8.1,8.2,8.2,3.8500000000000005
 遇见你·创意私房菜(桐梓林店) ,466,8.6,8.4,8.5,3.8499999999999996
 casamosaico卡萨马可意大利餐厅 ,479,8.3,8.5,8.9,3.8499999999999996
 梨巴家PearBa·定制生日蛋糕 ,330,8.7,8.4,8.5,3.8499999999999996
 歆瑞源油卤串串(海椒市店) ,2972,8.2,7.6,8.0,3.8
 三浮冰事·舒芙蕾(较场坝店) ,3424,8.1,7.9,8.0,3.8
 羿庭·大堂吧(华尔道夫酒店) ,1493,8.2,8.6,8.5,3.8
 黑天鹅蛋糕 · 下午茶(新希望店) ,1708,8.2,8.4,8.5,3.8
 牛牛和牛寿喜锅·和牛自助火锅(银泰城1.0店) ,1923,8.4,8.0,8.2,3.7500000000000004
 斗牛潮汕牛肉火锅(宽窄巷子店) ,2044,8.4,8.1,8.2,3.7500000000000004
 孙記碳火烤羊腿(成都首店) ,2095,8.4,8.1,8.2,3.7500000000000004
 老成都三样面(过街楼街店) ,3695,7.9,7.8,7.8,3.75
 杨三孃跷脚牛肉(橡树林店) ,1768,8.6,8.0,8.1,3.75
 韩国味亲烤肉(石油大学店) ,2404,8.1,8.0,8.2,3.7000000000000006
 隐庐·古法川菜(高新店) ,1085,8.3,8.5,8.7,3.7
 半甜CAKE定制烘焙(高新店) ,498,8.4,8.3,8.6,3.7
 南汇57 ,846,8.3,8.6,8.6,3.7
 八百雲日料(红星路店) ,837,8.5,8.3,8.7,3.7
 焱味·邱金(科华路店) ,2809,8.2,8.0,8.1,3.7
 朱大嘴肥肠豆汤(福字街店) ,2398,8.5,7.8,8.0,3.6999999999999997
 闲亭(峨影店) ,2869,8.0,8.7,7.9,3.6999999999999997
 S Kitchen偲厨 ,1495,8.1,8.5,8.5,3.6500000000000004
 顺江味道 ,1338,8.4,8.3,8.2,3.6500000000000004
 全渔村小排档(祥和里店) ,1684,8.5,8.1,8.5,3.6500000000000004
 BLUE HILL蓝色山丘 ,1724,8.2,8.4,8.3,3.65
 杨师傅糖油果子(吉祥街店) ,3062,8.1,7.8,8.0,3.65
 满山盘盘烤肉(文星总店) ,3261,8.0,7.9,8.1,3.6499999999999995
 慢作WORKTOP(丽都路店) ,1798,8.1,8.2,8.3,3.6
 李歪歪纸包鱼(天府新区店) ,1820,8.3,8.1,8.2,3.6
 面包谷Grains n'Beans(桐梓林店) ,2274,8.1,8.3,8.2,3.6
 悦哉·派对·草坪婚礼·围炉煮茶(三圣乡店) ,1097,8.3,8.7,8.3,3.55
 鹅煮管·火宫私家食府(总店) ,2919,8.3,7.7,8.0,3.55
 NOMNOM 东南亚餐·西餐 ,1602,8.4,8.1,8.3,3.5000000000000004
 渺秒海鲜大排档(双楠广福店) ,1288,8.3,8.2,8.3,3.5
 邓氏兔头 ,3148,8.1,7.7,7.9,3.5
 蜀串香厕所串串总店 ,3072,8.1,7.7,7.9,3.5
 去茶山(太古里手艺店) ,2950,7.9,8.1,7.9,3.4999999999999996
 去茶山(太古里手艺店) ,2950,7.9,8.1,7.9,3.4999999999999996
 中介食所云南烧烤(玉林店) ,1849,8.2,8.2,8.2,3.45
 私串居酒屋(大世界商业广场店) ,2365,8.1,8.0,8.0,3.4000000000000004
 牛宝贝养生黄牛肉(武侯立交桥店) ,655,8.4,8.3,8.3,3.4
 浮光之丘MontCake蛋糕(花牌坊店) ,624,8.3,8.3,8.5,3.3999999999999995
 盧匠日料 ,689,8.3,8.3,8.4,3.3999999999999995
 陶记蛋烘糕·冰粉(武侯祠总店) ,1594,8.3,8.0,8.3,3.35
 聚悉地餐馆素食自助餐 ,3055,7.8,7.9,7.8,3.3499999999999996
 钢管厂五区小郡肝串串香(太古里店) ,3333,7.9,7.9,7.8,3.3499999999999996
 永盈福喜·广州味道(春熙店) ,1851,8.1,8.2,8.2,3.3000000000000003
 乐山食古香跷脚牛肉 ,1817,8.2,8.1,8.2,3.3000000000000003
 张七贵的芋儿肥肠鸡(三瓦窑长乐佳苑店) ,2290,8.2,7.8,8.3,3.3
 云门锦翠(商鼎国际店) ,876,8.2,8.5,8.5,3.25
 DearCake 黛点心(花牌坊店) ,950,8.3,8.3,8.3,3.2499999999999996
 日光浮酥(双楠店) ,1493,8.3,8.2,8.2,3.2
 白孚孚by一行蛋糕铺 ,1389,8.2,8.3,8.2,3.2
 攀枝花·任德琼·盐边羊肉米线 ,3184,7.7,7.3,7.5,3.1999999999999997
 花水湾红太阳牛肉汤锅(温泉正街店) ,3227,7.7,7.6,7.7,3.1999999999999997
 吴三孃河坝卤菜总店 ,1897,8.2,8.0,8.1,3.1500000000000004
 渣女老火锅(总店) ,2750,8.1,7.8,8.0,3.1
 GOODSAUCE CAFE(滨江路店) ,773,8.2,8.4,8.3,3.1
 鱼桥巷·美学川菜 ,794,8.1,9.0,8.2,3.1
 无肉不欢 ,244,8.5,8.1,8.4,3.0999999999999996
 翠玲珑CUI(万象南路店) ,915,8.1,8.4,8.4,3.0999999999999996
 天丼王·和食料理(太古里店) ,1008,8.3,8.2,8.4,3.0999999999999996
 王婆荞鲜鱼自助火锅(蜀汉路店) ,1449,8.3,8.0,8.2,3.0500000000000003
 黄哥江油肥肠·川菜(较场坝店) ,1714,8.4,7.9,8.2,3.0500000000000003
 独食火锅·半米屋台(广都店) ,1598,8.1,8.2,8.3,3.05
 素斋(香园店) ,2048,8.0,8.3,8.0,3.0
 斗牛潮汕牛肉火锅(华阳直营店) ,1947,8.2,8.0,8.0,3.0
 徐记君味老火锅(双林中横路总店) ,2729,8.1,7.8,7.8,2.95
 拈一筷子·宜宾江湖菜(总店) ,2344,8.0,8.0,7.8,2.9499999999999997
 彼德西餐厅(悠方店) ,1260,8.2,8.2,8.2,2.9000000000000004
 吾福食肆烧肉酒场(双楠店) ,1735,8.1,8.1,8.0,2.8499999999999996
 新疆艾力达达美味(马新路店) ,1731,8.3,7.4,7.7,2.8499999999999996
 我的四季意大利餐厅(春天百货店) ,631,8.1,8.2,8.6,2.8
 茶百道(太古里店) ,2408,8.0,7.9,7.9,2.8
 Haru·Bistro 餐酒馆(桐梓林店) ,526,8.2,8.2,8.4,2.8
 蜜桃家甜点生日蛋糕(世纪城店) ,1596,8.2,8.0,8.2,2.7500000000000004
 黑石香村柴火鸡 ,1566,8.5,7.7,8.1,2.75
 陈记爷爷婆婆蛋烘糕(还玉苑店) ,2111,8.1,7.7,8.1,2.7
 猪事顺利猪咖狗咖 ,897,8.1,8.2,8.5,2.6500000000000004
 麓山安珀酒店-麓咖啡西餐厅 ,409,8.1,8.4,8.2,2.65
 锦味鲜·六样菜 ,1073,8.4,8.0,8.2,2.65
 周记PASTRY新中式糕點(海椒市街店) ,2947,8.0,7.8,7.8,2.65
 李氏豆花庄(青城山店) ,2911,7.9,7.7,7.9,2.65
 千香引铁盘烤肉(贝新巷店) ,406,8.5,8.0,8.2,2.65
 中介食所云南烧烤(猛追湾店) ,920,8.3,8.2,8.2,2.65
 川西火焰山西昌火盆烧烤(郫县店) ,1242,8.2,8.1,8.1,2.6000000000000005
 茉柑橘MOLLY&CLEMENTINE(宽窄巷子店) ,1647,8.2,8.1,8.1,2.6000000000000005
 Kion暖暖面包屋(高新店) ,1277,8.1,8.1,8.2,2.6
 西昌老号李小肠特色烧烤园直营店(清水河店) ,1913,8.1,7.9,7.9,2.55
 彼德西餐厅(桐梓林东路店) ,2148,8.0,8.1,8.0,2.55
 熟地当归(新南门店) ,766,8.1,8.2,8.3,2.5
 陈记小凤鲜芋儿鸡(大丰店) ,612,8.3,8.0,8.2,2.5
 长颈鹿Giraffe ,678,8.1,8.2,8.3,2.5
 OrangeTree甜橙树 ,640,8.1,8.3,8.2,2.5
 Secret Coffee JAY音乐主题店(悦熙广场店) ,470,8.2,8.0,8.3,2.5
 大象厨房(圣桦城店) ,1631,8.1,8.1,8.1,2.45
 雷堂豆花甜品(华润二十四城店) ,1274,8.1,8.0,8.1,2.45
 TOAST HOUSE吐司房子(摩方店) ,1260,8.2,7.9,8.1,2.45
 不二山房 ,1413,7.8,8.3,8.0,2.4499999999999997
 巷巷火锅 ,2229,8.1,7.8,7.9,2.4
 白老板的嘿店 ,2049,7.9,8.0,7.9,2.4
 香味面(祥和里店) ,1861,8.1,7.5,7.9,2.4
 蜜桃家甜点生日蛋糕(双楠店) ,643,8.2,8.2,8.2,2.35
 松云泽 ,921,8.2,8.2,8.2,2.35
 杰森小馆(宽窄巷子店) ,739,8.2,8.2,8.2,2.35
 会飞的鸡Flyingchicken(成华店) ,1671,8.2,7.9,8.0,2.3
 拂晓山房·私房川菜(高新红唐店) ,1624,7.8,8.3,7.9,2.3
 南门精酿·西餐吧(桐梓林店) ,1238,8.0,8.2,8.0,2.15
 昊·来了寿司(华府大道店) ,1736,7.8,7.6,7.6,2.1
 春耕野菜馆(华阳店) ,1894,7.8,7.7,7.7,2.1
 拾间恰好巷口串串 ,997,8.1,8.1,8.2,2.05
 8695Cake 蛋糕(成都店) ,387,8.1,8.1,8.2,2.05
 堂玉春娇(龙湖店) ,514,8.1,8.1,8.2,2.05
 LA LIBERTE自由烘焙·咖啡 ,756,8.2,8.0,8.1,2.05
 三山两田新疆菜(天荟·万科广场店) ,1487,7.9,8.1,8.0,2.0
 Molee·泰府(东郊店) ,1514,7.9,8.0,8.0,2.0
 Panda Queen(成都店) ,1638,8.0,8.0,8.0,2.0
 竹海听涛生态山庄 ,748,8.0,8.3,8.0,1.9000000000000001
 花雕醉鸡(电子科大店) ,683,8.1,8.0,8.1,1.9
 醉月城西昌火盆烧烤(四川总店) ,1476,8.1,7.8,7.9,1.8499999999999999
 晏记石锅苗苗鱼·老字号(三道堰总店) ,1451,8.1,7.8,7.9,1.8499999999999999
 夜食乐山·江湖菜(牛市口直营店) ,1699,8.1,7.5,7.8,1.8499999999999999
 蜀西火焰山西昌火盆烧烤(芽庄花园店) ,538,8.1,8.0,8.0,1.75
 B·HOUSE亲子烤肉自助餐厅·生日宴·围炉煮茶(三圣乡店) ,697,7.8,8.2,8.0,1.6
 将个烂就麻辣烫 ,787,8.0,8.0,8.1,1.5999999999999999
 火焰山西昌火盆烧烤(双流总店) ,1597,8.0,7.7,7.8,1.5499999999999998
 焖烤大叔·烧烤羊肉串 ,435,8.0,7.9,8.0,1.3
 渺秒海鲜大排档(金沙同盛店) ,1012,8.0,8.0,7.8,1.2999999999999998
 清泰园庭院火锅 ,840,7.9,8.0,7.7,1.2999999999999998
 自贡扛霸子鲜锅兔(温江店) ,786,7.9,7.7,7.9,1.0
 玉垒阁 ,299,7.7,7.8,7.8,1.0
 仲夏龙蒿·花园西餐厅·清水河公园店 ,15,7.3,7.5,7.4,1.0
 TwoFat汁味烧烤 ,844,7.9,7.3,7.5,1.0
 桂花田园休闲庄 ,168,7.4,7.3,7.5,1.0
 西昌火盆炭烤香猪(总店) ,794,8.0,7.6,7.9,1.0
 泰合素食(双流店) ,1057,7.7,7.7,7.6,1.0
 香菇秦肥肠(新华社区店) ,529,7.9,7.2,7.7,1.0
